Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
2.005,-0.19,3.383,0.0
2.01,-0.304,3.017,0.0
2.015,-0.282,2.65,0.0
2.02,-0.238,2.368,0.0
2.025,-0.221,2.115,0.0
2.03,-0.205,1.96,0.0
2.035,-0.179,1.76,0.0
2.04,-0.167,1.647,0.0
2.045,-0.154,1.54,0.0
2.05,-0.141,1.413,0.0
2.055,-0.128,1.283,0.0
2.06,-0.117,1.235,0.0
2.065,-0.113,1.16,0.0
2.07,-0.104,1.1,0.0
2.075,-0.093,0.995,0.0
2.08,-0.087,0.942,0.0
2.085,-0.083,0.895,0.0
2.09,-0.076,0.85,0.0
2.095,-0.071,0.798,0.0
2.1,-0.066,0.75,0.0
2.105,-0.06,0.688,0.0
2.11,-0.052,0.637,0.0
2.115,-0.049,0.59,0.0
2.12,-0.045,0.57,0.0
2.125,-0.042,0.542,0.0
2.13,-0.038,0.512,0.0
2.135,-0.036,0.487,0.0
2.14,-0.033,0.455,0.0
2.145,-0.032,0.423,0.0
2.15,-0.028,0.407,0.0
2.155,-0.024,0.377,0.0
2.16,-0.021,0.35,0.0
2.165,-0.019,0.327,0.0
2.17,-0.015,0.305,0.0
2.175,-0.014,0.287,0.0
2.18,-0.012,0.262,0.0
2.185,-0.009,0.243,0.0
2.19,-0.007,0.233,0.0
2.195,-0.006,0.218,0.0
2.2,-0.004,0.198,0.0
2.205,-0.002,0.183,0.0
2.21,-0.0,0.17,0.0
2.215,0.002,0.157,0.0
2.22,0.003,0.142,0.0
2.225,0.004,0.13,0.0
2.23,0.005,0.122,0.0
2.235,0.007,0.108,0.0
2.24,0.009,0.09,0.0
2.245,0.01,0.08,0.0
2.25,0.011,0.065,0.0
2.255,0.012,0.055,0.0
2.26,0.013,0.047,0.0
2.265,0.014,0.043,0.0
2.27,0.014,0.035,0.0
2.275,0.015,0.027,0.0
2.28,0.016,0.02,0.0
2.285,0.018,0.02,0.0
2.29,0.017,0.018,0.0
2.295,0.017,0.018,0.0
2.3,0.016,0.018,0.0
2.305,0.016,0.02,0.0
2.31,0.016,0.018,0.0
2.315,0.016,0.018,0.0
2.32,0.016,0.018,0.0
2.325,0.016,0.02,0.0
2.33,0.016,0.018,0.0
2.335,0.018,0.018,0.0
2.34,0.017,0.018,0.0
2.345,0.016,0.02,0.0
2.35,0.016,0.018,0.0
2.355,0.016,0.018,0.0
2.36,0.016,0.018,0.0
2.365,0.016,0.02,0.0
2.37,0.016,0.018,0.0
2.375,0.016,0.02,0.0
2.38,0.016,0.018,0.0
2.385,0.016,0.02,0.0
2.39,0.016,0.02,0.0
2.395,0.016,0.018,0.0
2.4,0.016,0.022,0.0
2.405,0.016,0.02,0.0
2.41,0.016,0.02,0.0
2.415,0.016,0.02,0.0
2.42,0.016,0.022,0.0
2.425,0.016,0.02,0.0
2.43,0.016,0.022,0.0
2.435,0.016,0.02,0.0
2.44,0.017,0.022,0.0
2.445,0.016,0.02,0.0
2.45,0.016,0.022,0.0
2.455,0.016,0.022,0.0
2.46,0.016,0.025,0.0
2.465,0.016,0.02,0.0
2.47,0.016,0.022,0.0
2.475,0.016,0.022,0.0
2.48,0.016,0.022,0.0
2.485,0.016,0.022,0.0
2.49,0.016,0.022,0.0
2.495,0.016,0.022,0.0
2.5,0.017,0.022,0.0
2.505,0.016,0.025,0.0
2.51,0.016,0.022,0.0
2.515,0.016,0.022,0.0
2.52,0.016,0.022,0.0
2.525,0.015,0.022,0.0
2.53,0.016,0.02,0.0
2.535,0.016,0.022,0.0
2.54,0.016,0.02,0.0
2.545,0.016,0.022,0.0
2.55,0.016,0.022,0.0
2.555,0.016,0.022,0.0
2.56,0.017,0.022,0.0
2.565,0.016,0.022,0.0
2.57,0.016,0.022,0.0
2.575,0.016,0.025,0.0
2.58,0.016,0.022,0.0
2.585,0.016,0.022,0.0
2.59,0.016,0.022,0.0
2.595,0.016,0.022,0.0
2.6,0.016,0.022,0.0
2.605,0.017,0.025,0.0
2.61,0.016,0.022,0.0
2.615,0.016,0.022,0.0
2.62,0.016,0.022,0.0
2.625,0.016,0.025,0.0
2.63,0.016,0.022,0.0
2.635,0.016,0.025,0.0
2.64,0.016,0.025,0.0
2.645,0.016,0.025,0.0
2.65,0.016,0.022,0.0
2.655,0.017,0.025,0.0
2.66,0.016,0.025,0.0
2.665,0.017,0.027,0.0
2.67,0.016,0.027,0.0
2.675,0.017,0.025,0.0
2.68,0.016,0.025,0.0
2.685,0.017,0.027,0.0
2.69,0.016,0.027,0.0
2.695,0.016,0.027,0.0
2.7,0.016,0.025,0.0
2.705,0.017,0.025,0.0
2.71,0.016,0.025,0.0
2.715,0.016,0.027,0.0
2.72,0.016,0.027,0.0
2.725,0.016,0.027,0.0
2.73,0.016,0.027,0.0
2.735,0.016,0.027,0.0
2.74,0.016,0.027,0.0
2.745,0.016,0.027,0.0
2.75,0.016,0.025,0.0
2.755,0.016,0.027,0.0
2.76,0.016,0.027,0.0
2.765,0.016,0.025,0.0
2.77,0.016,0.027,0.0
2.775,0.016,0.027,0.0
2.78,0.017,0.027,0.0
2.785,0.017,0.027,0.0
2.79,0.017,0.025,0.0
2.795,0.017,0.027,0.0
2.8,0.016,0.027,0.0
2.805,0.016,0.025,0.0
2.81,0.016,0.027,0.0
2.815,0.017,0.027,0.0
2.82,0.017,0.027,0.0
2.825,0.017,0.027,0.0
2.83,0.017,0.027,0.0
2.835,0.016,0.027,0.0
2.84,0.016,0.032,0.0
2.845,0.016,0.027,0.0
2.85,0.016,0.027,0.0
2.855,0.016,0.027,0.0
2.86,0.016,0.027,0.0
2.865,0.016,0.025,0.0
2.87,0.016,0.03,0.0
2.875,0.016,0.027,0.0
2.88,0.017,0.027,0.0
2.885,0.016,0.027,0.0
2.89,0.016,0.03,0.0
2.895,0.016,0.03,0.0
2.9,0.016,0.027,0.0
2.905,0.016,0.027,0.0
2.91,0.016,0.027,0.0
2.915,0.016,0.03,0.0
2.92,0.016,0.027,0.0
2.925,0.016,0.03,0.0
2.93,0.016,0.03,0.0
2.935,0.017,0.03,0.0
2.94,0.016,0.03,0.0
2.945,0.016,0.03,0.0
2.95,0.016,0.03,0.0
2.955,0.016,0.03,0.0
2.96,0.016,0.03,0.0
2.965,0.017,0.032,0.0
2.97,0.016,0.03,0.0
2.975,0.016,0.03,0.0
2.98,0.016,0.027,0.0
2.985,0.016,0.032,0.0
2.99,0.016,0.03,0.0
2.995,0.016,0.03,0.0
3.0,0.016,0.03,0.0
3.005,0.016,0.03,0.0
3.01,0.016,0.03,0.0
3.015,0.017,0.03,0.0
3.02,0.015,0.027,0.0
3.025,0.016,0.032,0.0
3.03,0.016,0.027,0.0
3.035,0.016,0.03,0.0
3.04,0.016,0.03,0.0
3.045,0.017,0.032,0.0
3.05,0.016,0.03,0.0
3.055,0.016,0.027,0.0
3.06,0.016,0.027,0.0
3.065,0.016,0.03,0.0
3.07,0.015,0.027,0.0
3.075,0.016,0.03,0.0
3.08,0.016,0.03,0.0
3.085,0.016,0.03,0.0
3.09,0.016,0.027,0.0
3.095,0.016,0.027,0.0
3.1,0.016,0.032,0.0
3.105,0.016,0.03,0.0
3.11,0.016,0.027,0.0
3.115,0.016,0.027,0.0
3.12,0.016,0.032,0.0
3.125,0.016,0.03,0.0
3.13,0.016,0.027,0.0
3.135,0.016,0.027,0.0
3.14,0.016,0.03,0.0
3.145,0.016,0.03,0.0
3.15,0.016,0.027,0.0
3.155,0.015,0.03,0.0
3.16,0.016,0.03,0.0
3.165,0.016,0.03,0.0
3.17,0.016,0.027,0.0
3.175,0.016,0.03,0.0
3.18,0.016,0.03,0.0
3.185,0.016,0.027,0.0
3.19,0.016,0.027,0.0
3.195,0.016,0.03,0.0
3.2,0.016,0.03,0.0
3.205,0.016,0.027,0.0
3.21,0.017,0.03,0.0
3.215,0.016,0.03,0.0
3.22,0.016,0.032,0.0
3.225,0.016,0.03,0.0
3.23,0.016,0.03,0.0
3.235,0.015,0.03,0.0
3.24,0.016,0.03,0.0
3.245,0.016,0.027,0.0
3.25,0.016,0.03,0.0
3.255,0.016,0.03,0.0
3.26,0.016,0.03,0.0
3.265,0.016,0.03,0.0
3.27,0.016,0.032,0.0
3.275,0.016,0.03,0.0
3.28,0.016,0.03,0.0
3.285,0.016,0.027,0.0
3.29,0.016,0.032,0.0
3.295,0.016,0.03,0.0
3.3,0.016,0.027,0.0
3.305,0.016,0.03,0.0
3.31,0.016,0.032,0.0
3.315,0.016,0.03,0.0
3.32,0.016,0.027,0.0
3.325,0.016,0.032,0.0
3.33,0.016,0.027,0.0
3.335,0.016,0.03,0.0
3.34,0.016,0.027,0.0
3.345,0.016,0.03,0.0
3.35,0.016,0.03,0.0
3.355,0.016,0.027,0.0
3.36,0.016,0.025,0.0
3.365,0.016,0.03,0.0
3.37,0.016,0.03,0.0
3.375,0.016,0.027,0.0
3.38,0.016,0.027,0.0
3.385,0.016,0.032,0.0
3.39,0.015,0.03,0.0
3.395,0.016,0.027,0.0
3.4,0.015,0.027,0.0
3.405,0.015,0.032,0.0
3.41,0.016,0.027,0.0
3.415,0.016,0.027,0.0
3.42,0.016,0.03,0.0
3.425,0.016,0.03,0.0
3.43,0.016,0.03,0.0
3.435,0.016,0.027,0.0
3.44,0.016,0.03,0.0
3.445,0.016,0.027,0.0
3.45,0.016,0.027,0.0
3.455,0.016,0.027,0.0
3.46,0.016,0.03,0.0
3.465,0.016,0.03,0.0
3.47,0.016,0.027,0.0
3.475,0.016,0.027,0.0
3.48,0.016,0.03,0.0
3.485,0.016,0.03,0.0
3.49,0.016,0.027,0.0
3.495,0.016,0.027,0.0
3.5,0.016,0.03,0.0
3.505,0.016,0.03,0.0
3.51,0.016,0.027,0.0
3.515,0.016,0.027,0.0
3.52,0.016,0.03,0.0
3.525,0.016,0.027,0.0
3.53,0.016,0.027,0.0
3.535,0.016,0.03,0.0
3.54,0.017,0.03,0.0
3.545,0.016,0.027,0.0
3.55,0.016,0.027,0.0
3.555,0.015,0.03,0.0
3.56,0.016,0.03,0.0
3.565,0.015,0.025,0.0
3.57,0.016,0.025,0.0
3.575,0.016,0.027,0.0
3.58,0.016,0.027,0.0
3.585,0.016,0.027,0.0
3.59,0.017,0.027,0.0
3.595,0.016,0.03,0.0
3.6,0.016,0.027,0.0
3.605,0.015,0.025,0.0
3.61,0.016,0.027,0.0
3.615,0.015,0.03,0.0
3.62,0.016,0.025,0.0
3.625,0.016,0.027,0.0
3.63,0.016,0.027,0.0
